white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
aliyevor,cheeseyou,1548,1557,0-1,Scotch Game,C45,https://lichess.org/VCkBNPd7,300+0,Normal,,,blitz,,,,,1379,60,1195,,,blitz,,,,,229,12,292
memellow,mat5100,1520,1777,0-1,Bishop's Opening,C23,https://lichess.org/XPwGIwHj,480+0,Time forfeit,,,blitz,,,,,1674,165,2096,,,bullet,1652.0,,,,8718,725,8820
TironisLux,MorphyAgain,1652,1974,0-1,Scandinavian Defense,B01,https://lichess.org/G26TxTBh,600+0,Normal,,,blitz,,1475.0,1660.0,,2852,169,3631,,,rapid,,1902.0,1944.0,2022.0,21816,1290,13050
bobbytal,soperco,1831,1914,0-1,Sicilian Defense: Kveinis Variation,B40,https://lichess.org/9XYLVZVs,300+0,Time forfeit,,,bullet,,,,,14887,788,16231,,,blitz,1947.0,2005.0,,,2715,230,2233
eop,Lubimov,1515,1361,0-1,Sicilian Defense: Old Sicilian,B30,https://lichess.org/qx6TprzC,300+0,Time forfeit,,,blitz,,1602.0,,,12688,791,15760,,,blitz,,1795.0,,,13700,1131,16781
KingBaobab,vsarunov,1555,1579,1-0,"King's Gambit Declined, Queen's Knight Defense",C30,https://lichess.org/EykyV8I1,480+0,Normal,,,bullet,1575.0,1610.0,1722.0,,3641,223,3793,,,blitz,,,,,5302,443,5916
Nomadic_George,zlate,1896,1734,0-1,Modern Defense,B06,https://lichess.org/rFvUpjxD,120+10,Normal,,,rapid,1532.0,1834.0,,,8505,631,7592,,,blitz,,1745.0,,,8237,1442,10326
Buttiglia,rksakrir,1799,1572,1-0,Gunderam Defense,C40,https://lichess.org/vW3IB5ZL,600+3,Normal,,,puzzle,,,,,1541,140,1140,,,rapid,,,1709.0,,6344,853,12889
ivanhoe007,francisco74,1610,1610,0-1,Four Knights Game,C46,https://lichess.org/UFZ28lqF,300+6,Normal,,,blitz,,,,,4042,320,6342,,,rapid,,,1258.0,,3181,342,3465
faramir,Leandrobov,1990,1968,1-0,"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",B13,https://lichess.org/5w5o5aCM,180+2,Time forfeit,,,bullet,2159.0,2105.0,,,26893,2649,26455,,,blitz,,1977.0,,,4678,321,4312
cemrohat,KML66,1330,1855,0-1,Polish Opening,A00,https://lichess.org/dkvq07pH,600+5,Normal,,,blitz,,,,,1016,121,2660,,,blitz,,1795.0,,,3416,276,3706
ferry15,higurashi,1575,1931,0-1,Sicilian Defense: Old Sicilian,B30,https://lichess.org/M7COoZdV,600+8,Normal,,,blitz,,1257.0,,,329,9,408,,,puzzle,,,,,254,9,113
chess4life23,dmitriy,2218,1723,1-0,Sicilian Defense: Accelerated Dragon,B34,https://lichess.org/7OnwLYjl,180+0,Normal,,NM,bullet,,2197.0,,,9914,379,2624,,,bullet,2009.0,1850.0,,,17190,1265,20241
croushored,sekerlama,1704,1581,1-0,Philidor Defense #3,C41,https://lichess.org/VqScgvSm,420+0,Normal,,,blitz,,,,,125,7,68,,,rapid,,,1793.0,,4822,954,5093
Graphirus,MMH1997,1748,1661,1-0,Ruy Lopez: Bird Variation,C61,https://lichess.org/nuQz1z1X,480+0,Time forfeit,,,blitz,,1627.0,,,6897,735,8447,,,bullet,1784.0,1696.0,,,23876,1288,21832
tartarughina,NisamLijepAliSamGlup,1563,1465,1-0,Center Game #2,C21,https://lichess.org/yDZfDydu,300+0,Time forfeit,,,bullet,1602.0,1374.0,,,6393,294,6308,,,puzzle,,,,,328,20,241
khvskai,omghx,1554,1544,0-1,Ruy Lopez: Berlin Defense #2,C65,https://lichess.org/eYj7Li2u,300+8,Normal,,,puzzle,,,,,595,33,880,,,unknown,,,,,0,0,0
HarrisonToppen,psycho12,1546,1793,1-0,King's Indian Attack: French Variation,A08,https://lichess.org/e0fzCKH7,30+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,,,,,5936,584,7812
santastico,gorgoleon,1771,1918,0-1,Queen's Gambit Declined,D52,https://lichess.org/nDMGHWo5,180+0,Time forfeit,,,bullet,,,,,27477,3100,28665,,,blitz,,,,,8869,1075,8999
Barista,fondfaced,1985,1998,0-1,Slav Defense: Modern,D11,https://lichess.org/oeYfjkOD,180+2,Normal,,,bullet,,,,,15247,1127,9975,,,unknown,,,,,0,0,0
Nogueira_Chess,ceca,1810,1966,1-0,Sicilian Defense,B50,https://lichess.org/c3gc9GMI,900+0,Time forfeit,,,rapid,,,,,273,46,376,,,unknown,,,,,0,0,0
nafataha,fulesp,1613,1623,1-0,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/BF5pwwhJ,900+3,Normal,,,puzzle,,,,,33,4,30,,,rapid,,,1538.0,,15353,1505,15301
OutbacKnight,Talep,1530,1562,1/2-1/2,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/Hjpyu3Qt,480+0,Normal,,,rapid,,,,,1090,138,816,,,rapid,,,2093.0,,5315,633,5840
