white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
LawlietJr,Utahsam,1277,1507,0-1,Queen's Gambit Accepted: Old Variation,D20,https://lichess.org/dVfbBOPY,420+0,Normal
MAMAG,LLIAXUMAT,1454,1164,0-1,Queen's Pawn Game: Colle System,D04,https://lichess.org/K4b5Eas1,180+3,Normal
sayongseon,giselab,1509,1268,1-0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,https://lichess.org/hrKzzlCO,300+1,Normal
sottorcolosseo,sriramchess,1250,1304,1-0,Bishop's Opening,C23,https://lichess.org/lQqTOCs8,300+0,Time forfeit
Kritty,BrunoGalaio,1419,1170,1-0,English Opening: Anglo-Scandinavian Defense,A10,https://lichess.org/dWzTOpba,1200+0,Time forfeit
Apin14,mokamemed,1193,1295,0-1,French Defense: Schlechter Variation,C00,https://lichess.org/GPS2BxRC,600+0,Time forfeit
Hilts,hallelujahcat,1154,1253,0-1,French Defense #2,C00,https://lichess.org/PZSzEROz,120+1,Normal
Ikcorwan,pawnographist,1099,1618,0-1,King's Pawn Game: Maroczy Defense,B07,https://lichess.org/hAxSDqgX,60+0,Time forfeit
Attzon,Chesskiller-2016,1426,1117,1-0,King's Pawn Game: Damiano Defense,C40,https://lichess.org/uXTokJln,600+10,Normal
Yugr,misaka_mikoto,1469,1234,0-1,Scandinavian Defense: Main Line,B01,https://lichess.org/u2zDsePv,300+0,Normal
tenis00,choka2,1332,1433,0-1,"Sicilian Defense: Paulsen Variation, Bastrikov Variation",B47,https://lichess.org/V19JH7Ut,600+0,Normal
Andrey001,PhuckHu,1240,1297,1-0,Bishop's Opening: Berlin Defense,C24,https://lichess.org/9pIxyFII,180+7,Normal
Elisabetta,Herr_Ritter,1422,1184,1-0,Nimzo-Larsen Attack,A01,https://lichess.org/FDhIFiF2,60+2,Time forfeit
Damianic,Kostyarik,1292,1331,0-1,Petrov's Defense #2,C42,https://lichess.org/IxsjHHtL,300+0,Time forfeit
Iseng_Iseng,Moshny10,1326,1427,1-0,Bishop's Opening,C23,https://lichess.org/XgX8JRbl,600+0,Normal
zman25630,thewalrus69,1359,1366,1-0,"Italian Game: Two Knights Defense, Fried Liver Attack",C57,https://lichess.org/jLbxHH9o,900+5,Normal
